content,score,at,content_sentiment,content_sentiment_num,content_sentiment_confidence
good sab,5,2025-06-22 23:56:39,positive,2,0.9435539841651917
"Honestly it's amazing for open world exploration, building teams, and connecting with people. There's always tutorials on YT for quests you don't understand if you need it, and I do understand Honkais the favorite child, but you can actually dodge in genshin! :D I absolutely love the characters, each one has been thought over well and has a unique design",5,2025-06-22 23:50:10,positive,2,0.9909913539886476
I've been having a lot of fun I like how the game treats its new players makes eazy to understand.,5,2025-06-22 23:39:42,positive,2,0.9472687840461732
"after 5 long years, they finally added controller support..... Domains are still locked to certain weekdays, and there's no flying like in Wuthering Waves. Go playing Wuthering Waves people",3,2025-06-22 23:26:44,positive,2,0.8805308938026428
so I downloaded this game randomly and I was shocked after knowing that the size of game 🥲,2,2025-06-22 23:16:54,positive,2,0.6523823142051697
cashcow for other games of hoyo is all I can say,1,2025-06-22 23:11:54,positive,2,0.7221215963363647
barely functional in any mobile device. was atleast able to play the bare minimum during early stages but now unless u imagine story is taking place in mist village to make it bareable,2,2025-06-22 22:51:48,negative,0,0.8997508883476257
nice 👍 game 🎮,5,2025-06-22 22:45:45,positive,2,0.8704322576522827
super,5,2025-06-22 22:44:42,positive,2,0.6477236151695251
"I got both Raiden and arlecchino, thank u sm❣️",5,2025-06-22 22:37:48,positive,2,0.9704717993736268
😭😭,5,2025-06-22 22:35:57,neutral,1,0.3864839971065521
"it sucks, like literally the most disappointing game, from the pull rate, farming and definitely a game that is not F2P friendly. Though, story wise it's good, the rest just sucks",1,2025-06-22 22:34:59,negative,0,0.964245855808258
amazing 😍,5,2025-06-22 22:21:56,positive,2,0.9365832209587096
It's a good game,5,2025-06-22 22:16:37,positive,2,0.9685631394386292
please skip button for story,3,2025-06-22 21:30:04,negative,0,0.8710454106330872
Too much chatting can reduce that,4,2025-06-22 21:27:55,negative,0,0.6207513809204102
very good 💯,5,2025-06-22 21:17:39,positive,2,0.9726731181144714
i love u alhaitham,5,2025-06-22 21:17:30,positive,2,0.952403485774994
best game ever,5,2025-06-22 21:10:47,positive,2,0.915415346622467
"Every time I play this game, a thought comes to my mind. WUWA was released much later than this game, but it has improved tremendously during this shorter span of time. We are talking about things like graphics for PC, QOL, the reduction of tediousness. And what do we still have with Genshin? A MIDDLE FINGER IN OUR FACE! This game can keep my 1 star rating forever. Can you even call this a game btw?",1,2025-06-22 21:08:39,positive,2,0.9367810487747192
it's a fantastic game,5,2025-06-22 21:08:28,positive,2,0.9128980040550232
this is like the best game ever. it is so good and the story is interesting and amazing.the characters are good and the gameplay is amazing.i have been obsessed with this game. I am waiting for more updates and new characters and story,5,2025-06-22 20:56:44,positive,2,0.9952446818351746
The games relaxing un like the game I've tried before,5,2025-06-22 20:50:23,positive,2,0.7837217450141907
is just cool,5,2025-06-22 20:47:16,positive,2,0.9452509880065918
😡😡I have played this game for 3 years and after that for some problem I am unable to play this for almost 5 or 6 months and for this they deleted my account and after I riched them for recovering my account they just won't give it back....😡😡 Now I just want my account back..........,1,2025-06-22 20:42:13,negative,0,0.9749749302864076
I don't know this game a play it for a hour it cool,4,2025-06-22 20:39:48,positive,2,0.9750985503196716
skip button for everything is the only thing missing but overall its good.,4,2025-06-22 20:33:08,positive,2,0.9852558374404908
"the game is pretty fun,the grind can get annoying but you get used to it",5,2025-06-22 20:28:03,positive,2,0.9051161408424376
amazing game,5,2025-06-22 20:26:09,positive,2,0.9409561157226562
"after a half+ year of playing I really enjoyed this game, the world building pretty impressive and a bit frustrating about pulling a characters..",5,2025-06-22 20:14:41,positive,2,0.8508363366127014
Perfect absolutely perfect,5,2025-06-22 20:00:22,positive,2,0.9778773188591005
"This game is beautiful, the story the mechanics, the exploration. It's all so well done. edit: I came back to the game after leaving it because of studies and such for 2 years, and I gotta say, the story is very interesting and became way better, and the characters look amazing still. Very nice job",5,2025-06-22 19:55:24,positive,2,0.9862872958183287
"i like a thing about this game and that is adventure, comunication and characters.",5,2025-06-22 19:50:31,positive,2,0.9888461232185364
i only like because of furina and Fontaine other wise very boring and not enough rewords,1,2025-06-22 19:46:02,negative,0,0.635365903377533
"This is my final review about this game first of all the game story are starting to at least having better quality, the character designs are all fine. The energy system is bad and grinding for skills are locked behind specific days and the artifacts are god awful. Now the thing that I hate the most the primogems you get in a single patch which only includes the endgame contents and newer stuff is only around 50-60 intertwined fates which is not enough getting a guaranteed character or weapon!!!",1,2025-06-22 19:38:34,negative,0,0.9889504313468932
really enjoyed this game during covid and been playing since v2.0 with monthly welkin. then I tried playing wuwa and this game became old and unplayable for me. hope this game improve so I can come back and enjoy playing again. uninstalled this game today.,1,2025-06-22 19:27:14,positive,2,0.5826908946037292
Should treat player base better!! Many have ran yet here I am still playing the game!,4,2025-06-22 19:23:54,positive,2,0.9846691489219666
really good But takes long to sign in so 1 star,1,2025-06-22 18:52:22,positive,2,0.9473713636398317
good!!,5,2025-06-22 18:51:51,positive,2,0.9333539009094238
This game is very good,5,2025-06-22 18:38:36,positive,2,0.984502375125885
Nothing but just beautiful.,5,2025-06-22 18:24:21,positive,2,0.8622481822967529
Tbh it is very hard to be F2P in this game because of the small amount of rewards but I'm not here to talk about that. I am begging you to bring back Aloy. Please HoYoverse bring Aloy back. I have played Horizon for a long time and being able to use her in Genshin would make me so happy.,4,2025-06-22 18:11:38,positive,2,0.8665339350700378
"Now I know why many people left genshin and play Wuthering, cause unlike wuthering here you don't get that much free stuff it's really challenging for an F2p players like me to collect enough primos and when you lose 50/50 all those Hard work just go to waste most brutal feeling ever.",3,2025-06-22 18:05:34,negative,0,0.5402724146842957
worst artifacts roll up game,1,2025-06-22 17:32:47,negative,0,0.9766560196876526
👍,5,2025-06-22 17:24:09,neutral,1,0.3864839971065521
it's calming but it's hard to get a five star vs only used four stars during ally game experience and honestly it's suffocating and annoying that I can't get a five no matter how much I save,4,2025-06-22 17:05:58,negative,0,0.60905522108078
this game is the best game children things free fire and PUBG is the best game,5,2025-06-22 16:57:56,positive,2,0.9727191925048828
it has been an amazing experience,5,2025-06-22 16:50:04,positive,2,0.9322613477706908
"it's a really good game, I loving it so far. In my opinion people say it's laggy in phone but in my phone it's different. if your complaining about the game being laggy, it's your phone storage problem.",5,2025-06-22 16:46:52,positive,2,0.705700695514679
best game,5,2025-06-22 16:28:38,positive,2,0.9188456535339355
super game and good adventure game❤️❤️❤️❤️☺️☺️☺️☺️👏👏👏👏,5,2025-06-22 16:24:52,positive,2,0.9857437014579772
"Game,story everything is amazing but we and epically for new player can't get enough primogems to reach 90 pity and it's so hard to get 10 wishes in a day and make pity at 50 or 60 and New players don't have good And enough characters for spiral abyss and imagineriam theater and exploring map is so hard even after Interective map and mobile grafics are sooo bad and mobile controls are hard developers need to fix this and if we need same account but in different phone i can't do it that's problem",5,2025-06-22 16:22:50,negative,0,0.9087930917739868
not good animation and etc especially on the newest archon quest zzz no improvement over 4 years,1,2025-06-22 16:14:20,negative,0,0.994561493396759
i love the graphics and the story,5,2025-06-22 16:06:44,positive,2,0.9762703776359558
Can you put Arabic language in the game too??,4,2025-06-22 15:47:47,neutral,1,0.765433132648468
"Genshin impact has been one of my emotional supports items the content is great,just hope that devs can make a skip button,i always watch my phone during quests.Also i hope that we can grand for primos more easy.",5,2025-06-22 15:41:01,neutral,1,0.4976202845573425
the game is great but the shortcomings of this game is the primo gems so little and now i can't play the game i don't know why when i want play the loading screen and than lock out game by himself i don't know why what happens but i like this game,5,2025-06-22 15:36:22,positive,2,0.812494695186615
release the captain bro,2,2025-06-22 15:27:02,neutral,1,0.72003573179245
"i played this game for a long time and one thing I can say for sure it's not Free to play friendly , it demands lotssss of time, hoyo verse is a billion dollar company yet they cant catch up with other gacha games in quality of life they'll Make you grind for hours for 1 or 2 pulls , at this point only thing they are improving is there money squeezing tricks , everything is outdated 3/10",1,2025-06-22 15:24:16,negative,0,0.9728693962097168
i hate the way when the game give us 5 star at high pity,1,2025-06-22 15:22:57,negative,0,0.9835167527198792
Wow it's amazing but natlan could be better and the character designs of natlan are low key bad,3,2025-06-22 14:44:32,positive,2,0.65016770362854
WAIT UNTIL THIS GAME EOS,1,2025-06-22 14:36:16,neutral,1,0.7558736801147461
"amazing game but it lacks these- rewards are less rerun of characters takes way too long old characters are useless lack of resin reserve no skip button for quests can't skip voiceless dialogues the lore bombing was slow but I can see it improve so no issues new characters like skirk need esco and very limited team members the difference with n without her is huge .Characters are weak like venti,raiden aether is treated better even tho there should be no difference. devs pls listen🙏",3,2025-06-22 14:27:55,positive,2,0.5784839391708374
GENSHIN WILL ALWAYS BE MY TOP GAME🫶✨,5,2025-06-22 14:05:57,positive,2,0.965321958065033
NERF RAIDEN ECHO WITH YOUR TRASH 4 STARS TRIAL CHARACTERS,1,2025-06-22 13:45:32,neutral,1,0.9706750512123108
"I must say that this is the only game I have been playing since I was 11years old,the animation for skirk was top peak but the only thing I wanna say is I hope our wishing sistem won't be so umm but such a bummer, it's totally insane how I rolled both 78 pulls for varesa and skirk only to get c1 and c2 jean",5,2025-06-22 13:28:47,positive,2,0.6166234016418457
wow,5,2025-06-22 13:24:23,positive,2,0.9598196744918824
good 👍🏻,4,2025-06-22 13:22:36,positive,2,0.8451583385467529
solid,5,2025-06-22 13:16:22,positive,2,0.7752285003662109
good,5,2025-06-22 13:08:36,positive,2,0.8451583385467529
didn't liked the game there was some kid with crazy obsession with explosives almost unalived me with a drunk bard 😤,1,2025-06-22 13:03:13,neutral,1,0.8247365951538086
great,5,2025-06-22 13:00:20,positive,2,0.8082209825515747
It's not the same game database; it doesn't hold your PC account nor progress.,1,2025-06-22 12:19:38,neutral,1,0.735418975353241
ok lah,5,2025-06-22 12:11:41,neutral,1,0.4166504144668579
nub game,1,2025-06-22 12:09:45,negative,0,0.5524524450302124
Bad at explaining stuff,1,2025-06-22 12:05:34,negative,0,0.984383463859558
this game is master piece for me it's really fantastic 🥰,5,2025-06-22 11:57:23,positive,2,0.9918314814567566
L game. Very capitalist and NO SKIP BUTTON.,1,2025-06-22 11:54:32,positive,2,0.8412550687789917
"Terrible mobile controls. I am waiting for for a customizable hud for years and hasn't been implemented. Yall know why we wanted it? a bunch of mis clicks you will experience from this game. Can't even multi touch in this game, it locks up to joystick and cant pan around when you introduce your third finger, which is necessary when in combat(for aiming). What the hell developers are thinking from their game? an afk game? like nikke? It seems like their making a shooter game with moba controls.",3,2025-06-22 11:50:18,negative,0,0.993962824344635
The best.,5,2025-06-22 11:26:53,positive,2,0.849698543548584
"G for GUOB LOCK, FANDOM GUOB LOXK, SEFONK TRUS TUH DEV QIQIR. (22/06/25) : Just fired Your animation director already, this game getting worse, seems like AZAB series on Indosiar, Pocong npc, Bubble buddy",1,2025-06-22 10:56:35,negative,0,0.9650399684906006
I am using Samsang S25 Ultra and gaming experience is amazing.,5,2025-06-22 10:49:36,positive,2,0.9824407696723938
good,4,2025-06-22 10:39:30,positive,2,0.8451583385467529
"dog water, and gave me a gambling addiction.",1,2025-06-22 10:36:42,negative,0,0.5205986499786377
pls do not add anymore loli baits😭🥀,4,2025-06-22 10:35:51,neutral,1,0.887594997882843
it's a nice game concept. my only issue is that the quest is way too long. A lot of them dont have many spots where you can save along the way. The quests can take hours. which makes me not want to play the game.,3,2025-06-22 10:06:36,neutral,1,0.5661234259605408
horrible,1,2025-06-22 10:05:14,negative,0,0.9795536994934082
"Hi guys its 2025, covid lockdown is no more, there are other games much better than this.",1,2025-06-22 09:58:05,positive,2,0.9599317908287048
"This game become pay to win game. Farming relics/talent/asc mats always take forever, the characters has more and more stupid gimmick that pretty stupid.",2,2025-06-22 09:28:22,neutral,1,0.9112876653671264
i loveee this game sm,5,2025-06-22 08:56:37,positive,2,0.9668431878089904
as of jun 21 2025 the feature i asked for was added and that was to download only the things we need to play the game.,5,2025-06-22 08:54:38,neutral,1,0.8169563412666321
Pls fix and optimize the natlan region. Other regions run smoother in 60 fps but only natlan faces the issue where i have to switch to lower graphic settings.,1,2025-06-22 08:37:35,negative,0,0.8984692692756653
Developers take years to implement QOL updates . Story quality dropped massively after Fontaine. spiral abyss is just a dps check with no strategy. the only positive is that the character list has gotten more diverse.,1,2025-06-22 08:24:36,neutral,1,0.5016252994537354
"For this game to be on mobile is a crime, but I won't complain because this is the best experience I've had from an adventure game on mobile. The visuals are amazing. The open world is captivating, and getting lost in how good it is will lead you into some trouble with some high-level enemies, so do watch for those, but overall, this game is a great game and I'm glad that it runs on my galaxy A51 though it's on the lowest graphics it's still visually appealing.",5,2025-06-22 07:56:05,positive,2,0.9934762120246888
"I've always loved this game since I was a child and didn't get an opportunity to Play, but now that I have I'll say this the best game of my life 💕",5,2025-06-22 07:51:20,positive,2,0.9459484219551086
"Played on launch, Quit after1st Anniversary, no money spent, best choice ever made. For a game that makes billions, the QoL is minimal and mediocre at best. Combat had potential but was not Met and was not Improved even after 5 years of constant updates. Exploration is slow and locked behind Limited Characters for better experience. Character Gacha 50/50 TRASH, Weapon Gacha 25/75 TRASH. The character models MEDIOCRE and SOULLESS. The community TRASH. Money is all that matters after all.",1,2025-06-22 07:18:20,negative,0,0.966619610786438
it's good just they needa be more f2p friendly like give some cool things out just for playing not everyone can sit on this game 247 but I still like the open world its pretty,4,2025-06-22 07:08:59,positive,2,0.7105385065078735
"Pay to win in a gacha game, how surprising. Devs are getting lazy and power creeping older characters. Stale and repetitive meta (pull new characters or good luck).",1,2025-06-22 06:54:56,negative,0,0.9531174898147584
"Those bitchs never learn to treat their players nice, and the content is now trash",1,2025-06-22 06:18:41,negative,0,0.9600747227668762
"Ive been a big fan in 2021-2024 after fontaine everything started to flop, child characters are made in a way that makes me uncomfortable whenever i see them, no variety in characters, and the fanservice that actually should be in game like for example rewarding players is not there, the onoy fanservice in there is for gooners not actual players, ive been an acive player, spent money, and especially after nod krai and natlan im disappointed, peak fantasy fairy like game got motors and hi3rd desi",1,2025-06-22 05:36:16,negative,0,0.7352717518806458
horrid.,1,2025-06-22 05:34:23,negative,0,0.9863254427909852
it a cool anime game,5,2025-06-22 05:11:55,positive,2,0.9937748908996582
makasih genshin impact karena sudah memperkenalkan aku ke dunia game story,5,2025-06-22 05:09:47,positive,2,0.7715979218482971
i love this game,5,2025-06-22 05:05:43,positive,2,0.969837248325348
I know this is a gacha game ment to take your money but what is up with the success rates before they updated it it was 50/50 and I always got the character but now they changed it so now after 70 pull I haven't gotten the character please change the system back and maybe ill start playing again,1,2025-06-22 04:57:40,negative,0,0.9711869955062866
literally downloaded it jnbkoz of MSA 😭😭💜,4,2025-06-22 04:44:33,neutral,1,0.9500264525413512
we lost a lot of good moments and quests of this game because of the strike and now it's the time to recast anyone who doesn't want to work. also this game is becoming an uwu girl lover and doesn't stop sexualizing women since Natlan released. designing Varesa and Mizuki (especially her burst animation) proves it. and we only had one or two male characters (both 4*) for this whole area! maybe try designing more male characters and stop focusing on those uwu girls!,2,2025-06-22 04:22:31,positive,2,0.8729857206344604
"I've been playing Genshin Impact on and off, and every time I come back, it somehow feels worse. Grinding for primogems is a full-time job. You do daily commissions, burn resin, run around solving puzzles, help NPCs you dun even care about—and after hours of effort, what do you get? Barely enough for one ten pull.",1,2025-06-22 04:08:57,neutral,1,0.6487166285514832
"this game updat does not let you finish your birthday year please fixed this game so I can log in, thanks",2,2025-06-22 04:01:11,negative,0,0.9751209616661072
"it feels like a childs game anymore. it's not the same genshin that i enjoy since it became stagnant. graphics is cool but too childish. maybe it's time to step the game up, it is getting far behind on other games like WUWA. in terms of character development, story, combat skills. when you get a character, you only have lite version of what the character can do. in wuwa you get what you get. atleast 80% of capabilities and combat skills and how do they attack. being stagnant is not good and cool",3,2025-06-22 03:35:36,negative,0,0.9303497076034546
to unclear of what to do some times but for a mobile game it's pretty 👍,3,2025-06-22 03:33:23,positive,2,0.8075008392333984
"I tried it on Xbox ( one ) but it wasn't great because I had to play through cloud gaming, but since getting it on my phone I have begun to really enjoy it. Thanks to one of my mates for suggesting it.",5,2025-06-22 02:56:46,positive,2,0.6864596009254456
"Game overall is very fun at the start, the gacha system is a bad knowing that that around 90 pulls you are guaranteed a 5 star if it is not your desire character(limited) you are guaranteed on the next 90 pulls which is overall bad. Any 4 star can be hit or miss, powercreeep is thete rampant",1,2025-06-22 02:37:31,positive,2,0.7186976075172424
